preusuel,dpt,decade,nombre,total_births,rate_per_10k
ALAIN,38,1970,294,114278,25.73
ALAIN,38,1980,83,107691,7.71
ALAIN,38,1990,11,103670,1.06
ALAIN,38,2000,3,111169,0.27
ALAIN,39,1930,52,30363,17.13
ALAIN,39,1940,603,35863,168.14
ALAIN,39,1950,911,38247,238.19
ALAIN,39,1960,475,35759,132.83
ALAIN,39,1970,96,28188,34.06
ALAIN,39,1980,17,23670,7.18
ALAIN,39,1990,4,20373,1.96
ALAIN,40,1930,51,30017,16.99
ALAIN,40,1940,648,31715,204.32
ALAIN,40,1950,1080,37491,288.07
ALAIN,40,1960,588,34236,171.75
ALAIN,40,1970,84,26933,31.19
ALAIN,41,1920,12,37080,3.24
ALAIN,41,1930,149,34483,43.21
ALAIN,41,1940,867,37096,233.72
ALAIN,41,1950,1239,40457,306.25
ALAIN,41,1960,482,36130,133.41
ALAIN,41,1970,83,31709,26.18
ALAIN,41,1980,6,30626,1.96
ALAIN,42,1920,21,88012,2.39
ALAIN,42,1930,150,81687,18.36
ALAIN,42,1940,1793,103442,173.33
ALAIN,42,1950,3152,116099,271.49
ALAIN,42,1960,1582,117811,134.28
ALAIN,42,1970,313,110661,28.28
ALAIN,42,1980,47,97897,4.8
ALAIN,42,1990,3,82167,0.37
ALAIN,43,1930,26,30908,8.41
ALAIN,43,1940,418,31249,133.76
ALAIN,43,1950,851,31396,271.05
ALAIN,43,1960,489,27000,181.11
ALAIN,43,1970,70,18478,37.88
ALAIN,43,1980,3,12758,2.35
ALAIN,44,1900,12,67871,1.77
ALAIN,44,1910,47,65543,7.17
ALAIN,44,1920,150,99161,15.13
ALAIN,44,1930,481,96622,49.78
ALAIN,44,1940,2485,118912,208.98
ALAIN,44,1950,3562,156831,227.12
ALAIN,44,1960,1941,161592,120.12
ALAIN,44,1970,361,154881,23.31
ALAIN,44,1980,64,139790,4.58
ALAIN,44,1990,22,126829,1.73
ALAIN,44,2000,3,141904,0.21
ALAIN,45,1910,10,35060,2.85
ALAIN,45,1920,26,47863,5.43
ALAIN,45,1930,269,45850,58.67
ALAIN,45,1940,1484,54841,270.6
ALAIN,45,1950,1756,66444,264.28
ALAIN,45,1960,805,69784,115.36
ALAIN,45,1970,137,68115,20.11
ALAIN,45,1980,22,63898,3.44
ALAIN,45,1990,7,59872,1.17
ALAIN,45,2000,7,59687,1.17
ALAIN,46,1900,20,17581,11.38
ALAIN,46,1910,7,14193,4.93
ALAIN,46,1920,19,20005,9.5
ALAIN,46,1930,25,17509,14.28
ALAIN,46,1940,262,20802,125.95
ALAIN,46,1950,607,22098,274.69
ALAIN,46,1960,382,20015,190.86
ALAIN,46,1970,76,14228,53.42
ALAIN,47,1920,6,29084,2.06
ALAIN,47,1930,77,29237,26.34
ALAIN,47,1940,891,39674,224.58
ALAIN,47,1950,1501,43383,345.99
ALAIN,47,1960,976,41294,236.35
ALAIN,47,1970,131,33918,38.62
ALAIN,47,1980,26,30422,8.55
ALAIN,48,1930,3,12139,2.47
ALAIN,48,1940,163,12617,129.19
ALAIN,48,1950,364,11308,321.9
ALAIN,48,1960,195,8940,218.12
ALAIN,48,1970,16,6160,25.97
ALAIN,48,1980,3,3221,9.31
ALAIN,49,1900,3,48516,0.62
ALAIN,49,1910,17,46658,3.64
ALAIN,49,1920,47,71688,6.56
ALAIN,49,1930,255,73058,34.9
ALAIN,49,1940,1623,90291,179.75
ALAIN,49,1950,2639,111932,235.77
ALAIN,49,1960,1559,117359,132.84
ALAIN,49,1970,298,114643,25.99
ALAIN,49,1980,81,105492,7.68
ALAIN,49,2000,3,91150,0.33
ALAIN,50,1910,3,51326,0.58
ALAIN,50,1920,16,76680,2.09
ALAIN,50,1930,105,79589,13.19
ALAIN,50,1940,995,81898,121.49
ALAIN,50,1950,2463,97294,253.15
ALAIN,50,1960,1079,82658,130.54
ALAIN,50,1970,148,64681,22.88
ALAIN,50,1980,23,60507,3.8
ALAIN,50,1990,9,48820,1.84
ALAIN,51,1910,6,37724,1.59
ALAIN,51,1920,54,63144,8.55
ALAIN,51,1930,285,61692,46.2
ALAIN,51,1940,1620,68407,236.82
ALAIN,51,1950,2128,86183,246.92
ALAIN,51,1960,1071,85137,125.8
ALAIN,51,1970,162,87064,18.61
ALAIN,51,1980,51,80778,6.31
ALAIN,51,1990,7,65447,1.07
ALAIN,52,1930,101,27679,36.49
ALAIN,52,1940,732,32092,228.09
ALAIN,52,1950,885,40255,219.85
ALAIN,52,1960,542,39605,136.85
ALAIN,52,1970,84,28919,29.05
ALAIN,52,1980,19,21620,8.79
ALAIN,52,1990,4,15976,2.5
ALAIN,53,1910,5,31379,1.59
ALAIN,53,1920,22,44761,4.91
ALAIN,53,1930,122,43183,28.25
ALAIN,53,1940,685,45402,150.87
ALAIN,53,1950,1488,49224,302.29
ALAIN,53,1960,643,42682,150.65
ALAIN,53,1970,105,38954,26.95
ALAIN,53,1980,8,31040,2.58
ALAIN,54,1910,3,55048,0.54
ALAIN,54,1920,40,89383,4.48
ALAIN,54,1930,287,93039,30.85
ALAIN,54,1940,2034,94105,216.14
ALAIN,54,1950,3138,132349,237.1
ALAIN,54,1960,1935,130317,148.48
ALAIN,54,1970,326,107549,30.31
ALAIN,54,1980,77,91460,8.42
ALAIN,54,1990,13,77057,1.69
